"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2801","彰銀","市","11/11","17.7","-0.05","-0.28","10","1,121","1,121","1,983","74.4","62.7","有","有","有","","","","銀行業","胡光華","周朝崇"
="2809","京城銀","市","11/11","48.8","+0.5","+1.04","10","111","111.1","542","73.3","41.3","","","有","","","","銀行業","戴誠志","姜宏亮"
="2812","台中銀","市","11/11","17.9","+0.05","+0.28","10","552","551.9","988","71.2","40.5","","","有","","","","銀行業","施建安","董益源"
="2820","華票","市","11/11","15","0","0","10","134","134.3","201","46","30","","","","","","","銀行業","張政權","魏政祥"
="2834","臺企銀","市","11/11","15.1","-0.25","-1.63","10","917","916.8","1,384","74.1","26.9","有","","有","","","","銀行業","劉佩真","李國忠"
="2836","高雄銀","市","11/11","11.65","-0.05","-0.43","10","183","178.6","208","42.8","26.5","","","","有","","有","銀行業","鄭美玲","徐翠梅"
"2836A","高雄銀甲特","市","11/11","21.5","0","0","","","4","8.6","","3.83","","","","","","","銀行業","",""
="2838","聯邦銀","市","11/11","15.4","+0.05","+0.33","10","425","405","624","32.9","26.4","","","","","","有","銀行業","林鴻聯","許維文"
"2838A","聯邦銀甲特","市","11/11","52.7","+0.1","+0.19","","","20","105","","6.95","","","","","","","銀行業","",""
="2845","遠東銀","市","11/11","13.3","-0.05","-0.37","10","428","427.5","569","32.8","26","","","有","有","","","銀行業","侯金英","周添財"
="2849","安泰銀","市","11/11","14.5","-0.05","-0.34","10","196","195.8","284","32.4","25.1","","","","","有","","銀行業","俞宇琦","張振芳"
="2897","王道銀行","市","11/11","9.88","+0.04","+0.41","10","306","273.9","271","25.3","7.53","","","有","有","","有","銀行業","駱怡君","李芳遠"
"2897B","王道銀乙特","市","11/11","11.7","0","0","","","25","29.2","","0.12","","","","","","","銀行業","",""
="5876","上海商銀","市","11/11","39.3","+0.4","+1.03","10","486","486.2","1,911","70.2","6.07","有","","有","有","","","銀行業","李慶言","郭進一"
