"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1201","味全","市","11/11","18.2","+0.25","+1.39","10","50.6","50.61","92.1","71.1","62.8","","","","","","","食品工業","陳宏裕","林建宏"
="1203","味王","市","11/11","46.5","-0.6","-1.27","10","24","24","112","65.4","60.2","","","","","","","食品工業","陳清福","陳恭平"
="1210","大成","市","11/11","51.4","+0.2","+0.39","10","89.5","89.48","460","63.9","46.5","有","","","","","","食品工業","韓家宇","韓芳豪"
="1213","大飲","市","11/11","12.4","-0.35","-2.75","10","5.66","5.66","7.02","59.3","43.6","","","","","","","食品工業","蘇芸樂","于忠敏"
="1215","卜蜂","市","11/11","97.5","+0.7","+0.72","10","29.5","29.48","287","47.2","37.3","","","","","","","食品工業","鄭武樾","許瑞通"
="1216","統一","市","11/11","87","-0.3","-0.34","10","568","568.2","4,943","57.2","36.9","有","有","有","有","","","食品工業","羅智先","黃釗凱、李清田"
="1217","愛之味","市","11/11","12.05","+0.2","+1.69","10","49.5","49.45","59.6","53.4","35","","","","","","","食品工業","陳冠翰","陳志展"
="1218","泰山","市","11/11","20.05","-0.05","-0.25","10","50","50","100","74","35","","","","","","","食品工業","劉偉龍","蔡政達"
="1219","福壽","市","11/11","17.15","-0.05","-0.29","10","34.2","34.16","58.6","69.8","34","","","","","","","食品工業","洪堯昆","趙文強"
="1220","台榮","市","11/11","17.2","+0.1","+0.58","10","17.7","17.71","30.5","55.7","33","","","","","","","食品工業","倍安利投資有限公司","陳英凱"
="1225","福懋油","市","11/11","84.1","-1.9","-2.21","10","23","22.96","193","38.6","31.1","","","","","","","食品工業","晉昇投資有限公司","張志賓"
="1227","佳格","市","11/11","37.7","-0.2","-0.53","10","91.5","91.51","345","38.4","30.6","","","","","","","食品工業","曹德風","曹博睿"
="1229","聯華","市","11/11","59.7","-0.2","-0.33","10","171","171","1,021","69.3","48.3","","","","有","","","食品工業","苗豐強","林信宏"
="1231","聯華食","市","11/11","120.5","+0.5","+0.42","10","27.1","27.13","327","54.4","29","","","","","","","食品工業","李開源","林家齊"
="1232","大統益","市","11/11","149.5","+0.5","+0.34","10","16","16","239","42.5","28.8","","","","","","","食品工業","羅智先","陳昭良"
="1233","天仁","市","11/11","32.05","+0.1","+0.31","10","9.06","9.06","29","48.9","27.7","","","","","","","食品工業","李國麟","林仁宗"
="1234","黑松","市","11/11","41.5","+0.1","+0.24","10","40.2","40.19","167","54.9","25.7","","","","","","","食品工業","張斌堂","張智鈞"
="1235","興泰","市","11/11","155","-0.5","-0.32","10","15.7","15.71","244","52","24.2","","","","","","","食品工業","昇鋒投資股份有限公司","葉文籐"
="1236","宏亞","市","11/11","23.4","+0.05","+0.21","10","8.67","8.67","20.3","48.4","26.5","","","","","","","食品工業","張云綺","張云綺"
="1256","鮮活果汁-KY","市","11/11","137.5","-2.5","-1.79","10","3.38","3.38","46.5","14.8","12.2","","","","","","","食品工業","黃國晃","吳明憲"
="1702","南僑","市","11/11","54.2","-1.1","-1.99","10","29.4","29.41","159","74.4","51.5","","","有","有","","","食品工業","陳飛龍","李勘文"
="1737","臺鹽","市","11/11","33.1","-0.15","-0.45","10","20","20","66.2","29.4","21","","","","","","","食品工業","丁彥哲","陳世輝"
="3054","立萬利","市","11/11","22.4","+0.6","+2.75","10","8.34","8.34","18.7","33.4","22","","","","","","","食品工業","陳立青","陳立青"
