"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2314","台揚","市","11/11","33.95","-1.55","-4.37","10","25.2","25.2","85.6","41.6","34.3","","","","","","","通信網路業","謝其嘉","吳永欽"
="2321","東訊","市","11/11","16.9","-0.25","-1.46","10","3.03","3.03","5.12","44.1","33","","","","","","有","通信網路業","劉兆凱","田瑛睿"
="2332","友訊","市","11/11","20.3","+0.35","+1.75","10","60.2","60.25","122","37.4","30.1","有","","有","有","","","通信網路業","郭金河","張家瑞"
="2345","智邦","市","11/11","579","-5","-0.86","10","56.1","56.06","3,246","36.8","29","有","","有","有","","","通信網路業","黃國修","石軍"
="2412","中華電","市","11/11","123","0","0","10","776","775.7","9,542","28.4","24","有","有","有","","","","通信網路業","簡志誠","林榮賜"
="2419","仲琦","市","11/11","33.45","-0.25","-0.74","10","32.1","32.13","107","38.6","25.9","","","有","","","","通信網路業","黃文芳","周暘智"
="2424","隴華","市","11/11","80.9","+0.4","+0.5","10","5.74","5.74","46.5","51.8","24.2","","","","","有","","通信網路業","王光祥","王雅萱"
="2439","美律","市","11/11","105.5","+1.5","+1.44","10","24.3","25.46","269","48.9","24.2","有","","有","有","","","通信網路業","廖祿立","黃朝豊"
="2444","兆勁","市","11/11","15.8","+1.4","+9.72","10","10.2","10.16","16","29.4","23.9","","","","有","有","","通信網路業","紀政孝","紀政孝"
="2450","神腦","市","11/11","35.15","+0.05","+0.14","10","25.8","25.83","90.8","45.5","23.5","","","","","","","通信網路業","林保雍(代)","林保雍"
="2455","全新","市","11/11","150","+10.5","+7.53","10","18.5","18.49","277","28","22.8","有","","有","","","","通信網路業","陳建良","黃朝興"
="2485","兆赫","市","11/11","17.8","-0.15","-0.84","10","31.8","31.77","56.5","43.7","25","有","","","","","","通信網路業","黃啟瑞","林慶輝"
="2498","宏達電","市","11/11","45.1","+0.75","+1.69","10","83.2","83.23","375","27.5","22.6","有","有","有","","","","通信網路業","王雪紅","王雪紅"
="3025","星通","市","11/11","80.2","+2.2","+2.82","10","5.67","5.67","45.5","32.9","23.8","","","","","","","通信網路業","葉茂林","葉茂林"
="3027","盛達","市","11/11","33.55","-0.2","-0.59","10","11.6","11.55","38.7","51.6","24.8","","","","","有","","通信網路業","陳忠廷","張淑梅"
="3045","台灣大","市","11/11","114.5","+1.5","+1.33","10","372","372.3","4,263","27.7","24.1","有","","有","有","","","通信網路業","蔡明忠","林之晨"
="3047","訊舟","市","11/11","36","+0.3","+0.84","10","22.3","22.23","80","38.4","23.7","","","有","","","","通信網路業","任冠生","任冠生"
="3062","建漢","市","11/11","35.7","-0.6","-1.65","10","33","33.04","118","26.4","21.3","","","有","","","","通信網路業","李廣益","李廣益"
="3138","耀登","市","11/11","110.5","-2.5","-2.21","10","5.03","5.03","55.6","34.8","3.92","","","","有","","","通信網路業","張玉斌","張玉斌"
="3311","閎暉","市","11/11","36.4","-0.4","-1.09","10","6.8","6.8","24.8","23","20.7","","","","","","","通信網路業","焦佑衡","徐幼珍"
="3380","明泰","市","11/11","36.55","+0.1","+0.27","10","54.2","54.17","198","21.2","19.9","有","","有","","","","通信網路業","黃文芳","黃文芳"
